fecha,hora,maceta,humedad_raw_1,humedad_raw_2,humedad_pct_1,humedad_pct_2,humedad_pct_promedio,lux,lux_foco,temperatura_c,humedad_ambiente_pct,luz_encendida,ventilador_encendido,riego_pendiente,alertas
2026-04-02,18:13:18,maceta1,89,58,46,67,56,8.333333333333334,,25.9,77.7,1,0,1,Discrepancia alta entre sensores de humedad: 46% vs 67%
2026-04-02,18:14:51,maceta1,120,128,26,21,23,9.166666666666668,,,,1,0,1,Lectura invalida de DHT
2026-04-02,19:15:01,maceta1,128,128,21,21,21,0.0,3705.8333333333335,26.3,75.4,1,0,1,
2026-04-02,20:15:13,maceta1,21,19,91,92,91,26.25,71.25,,,1,0,0,Lectura invalida de DHT
2026-04-02,21:15:18,maceta1,10,7,98,100,99,13.75,64.16666666666667,27.2,69.0,1,0,0,
2026-04-02,22:15:24,maceta1,11,8,98,100,99,12.5,62.91666666666667,,,1,0,0,Lectura invalida de DHT
2026-04-02,23:15:30,maceta1,23,19,90,92,91,0.0,48.75,25.6,77.5,1,0,0,
2026-04-03,00:15:36,maceta1,24,20,89,92,90,0.0,50.833333333333336,25.4,74.0,1,0,0,
2026-04-03,01:15:42,maceta1,25,22,88,90,89,0.0,937.5,,,1,0,0,Lectura invalida de DHT
2026-04-03,02:15:47,maceta1,25,22,88,90,89,0.0,720.8333333333334,25.6,87.4,1,0,0,
2026-04-03,03:15:53,maceta1,26,23,88,90,89,0.0,679.1666666666667,,,1,0,0,Lectura invalida de DHT
2026-04-03,04:15:59,maceta1,31,28,84,86,85,0.0,1564.1666666666667,25.7,85.5,1,0,0,
2026-04-03,05:16:04,maceta1,31,28,84,86,85,0.0,632.5,25.8,84.5,1,0,0,
2026-04-03,06:16:10,maceta1,31,28,84,86,85,0.0,1165.0,,,0,0,0,Lectura invalida de DHT
2026-04-03,07:16:16,maceta1,32,28,84,86,85,1.25,,25.7,84.5,0,0,0,
2026-04-03,08:16:20,maceta1,32,29,84,86,85,0.0,,24.5,90.0,0,0,0,
2026-04-03,09:16:23,maceta1,128,128,21,21,21,0.0,,24.8,86.0,0,0,1,
2026-04-03,10:16:33,maceta1,32,28,84,86,85,0.0,,25.1,84.7,0,0,0,
2026-04-03,11:16:37,maceta1,32,29,84,86,85,0.0,,25.4,84.4,0,0,0,
2026-04-03,12:16:41,maceta1,128,128,21,21,21,14.583333333333334,,25.7,84.5,0,0,1,
2026-04-03,13:16:50,maceta1,32,29,84,86,85,8.333333333333334,,25.9,79.9,0,0,0,
2026-04-03,14:16:54,maceta1,32,29,84,86,85,5.833333333333334,,26.0,80.9,0,0,0,
2026-04-03,15:16:58,maceta1,128,128,21,21,21,1.6666666666666667,,25.9,82.1,0,0,1,
2026-04-03,16:17:08,maceta1,32,28,84,86,85,1.25,,25.4,76.2,0,0,0,
2026-04-03,17:17:11,maceta1,31,28,84,86,85,1.25,,24.1,76.4,0,0,0,
2026-04-03,18:17:15,maceta1,128,128,21,21,21,1.6666666666666667,,23.3,68.6,1,0,1,
2026-04-03,19:17:25,maceta1,29,26,86,88,87,0.0,495.83333333333337,25.4,84.7,1,0,0,
2026-04-03,20:17:30,maceta1,29,25,86,88,87,0.0,677.9166666666667,27.0,90.5,1,0,0,
2026-04-03,21:17:36,maceta1,29,26,86,88,87,0.0,622.5,27.2,84.0,1,0,0,
2026-04-03,22:17:42,maceta1,27,24,87,89,88,1.25,515.4166666666667,26.9,83.9,1,0,0,
2026-04-03,23:17:49,maceta1,27,24,87,89,88,1.25,367.9166666666667,27.0,85.9,1,0,0,
2026-04-04,00:17:54,maceta1,28,25,86,88,87,0.0,313.75,26.9,86.6,1,0,0,
2026-04-04,01:18:00,maceta1,28,26,86,88,87,0.0,308.75,,,1,0,0,Lectura invalida de DHT
2026-04-04,02:18:06,maceta1,29,26,86,88,87,0.0,0.0,26.4,88.5,1,0,0,
2026-04-04,03:18:12,maceta1,29,26,86,88,87,0.0,0.0,,,1,0,0,Lectura invalida de DHT
2026-04-04,04:18:17,maceta1,28,25,86,88,87,0.0,0.0,25.7,93.5,1,0,0,
2026-04-04,05:18:23,maceta1,29,26,86,88,87,0.0,0.0,,,1,0,0,Lectura invalida de DHT
2026-04-04,06:18:29,maceta1,28,26,86,88,87,0.0,0.0,,,0,0,0,Lectura invalida de DHT
2026-04-04,07:18:34,maceta1,31,28,84,86,85,0.0,,25.4,98.6,0,0,0,
2026-04-04,08:18:38,maceta1,31,28,84,86,85,0.0,,24.9,91.8,0,0,0,
2026-04-04,09:18:42,maceta1,128,128,21,21,21,0.0,,24.5,90.5,0,0,1,
2026-04-04,10:18:52,maceta1,31,29,84,86,85,0.0,,,,0,0,0,Lectura invalida de DHT
2026-04-04,11:18:55,maceta1,31,29,84,86,85,2.5,,,,0,0,0,Lectura invalida de DHT
2026-04-04,12:18:59,maceta1,128,128,21,21,21,0.4166666666666667,,,,0,0,1,Lectura invalida de DHT
2026-04-04,13:19:09,maceta1,31,30,84,85,84,0.0,,22.7,77.4,0,0,0,
2026-04-04,14:19:12,maceta1,32,30,84,85,84,0.4166666666666667,,22.5,81.1,0,0,0,
2026-04-04,15:19:16,maceta1,128,128,21,21,21,0.0,,,,0,0,1,Lectura invalida de DHT
2026-04-04,16:19:26,maceta1,32,31,84,84,84,1.25,,22.0,73.0,0,0,0,
2026-04-04,16:57:28,maceta1,33,31,83,84,83,0.0,,21.9,71.4,1,0,0,
2026-04-04,17:57:32,maceta1,24,23,89,90,89,0.0,1007.5,21.5,65.6,1,0,0,
2026-04-04,18:57:38,maceta1,23,22,90,90,90,0.0,2506.666666666667,22.6,73.7,1,0,0,
2026-04-04,19:57:44,maceta1,24,23,89,90,89,0.0,2618.75,22.2,74.7,1,0,0,
2026-04-04,20:57:49,maceta1,24,24,89,89,89,1.25,2575.416666666667,21.7,73.0,1,0,0,
2026-04-04,21:57:55,maceta1,24,23,89,90,89,1.25,1809.5833333333335,,,1,0,0,Lectura invalida de DHT
2026-04-04,22:58:01,maceta1,25,24,88,89,88,1.25,328.75,22.0,60.7,0,0,0,
2026-04-04,23:58:07,maceta1,24,23,89,90,89,1.25,,22.4,77.3,0,0,0,
2026-04-05,00:58:10,maceta1,27,25,87,88,87,1.25,,21.5,65.6,0,0,0,
2026-04-05,01:58:19,maceta1,28,26,86,88,87,0.0,,,,0,0,0,Lectura invalida de DHT
2026-04-05,02:58:23,maceta1,29,27,86,87,86,0.0,,22.0,65.0,0,0,0,
2026-04-05,03:58:27,maceta1,128,128,21,21,21,0.0,,,,0,0,1,Lectura invalida de DHT
2026-04-05,04:58:36,maceta1,29,27,86,87,86,0.0,,22.0,70.1,0,0,0,
2026-04-05,05:58:40,maceta1,29,28,86,86,86,0.0,,21.7,67.6,0,0,0,
2026-04-05,06:58:44,maceta1,128,128,21,21,21,0.0,,21.5,67.6,0,0,1,
2026-04-05,07:58:54,maceta1,29,28,86,86,86,0.0,,21.5,68.2,0,0,0,
2026-04-05,08:58:57,maceta1,25,24,88,89,88,0.0,,21.3,68.1,0,0,0,
