fecha,hora,maceta,humedad_raw_1,humedad_raw_2,humedad_pct_1,humedad_pct_2,humedad_pct_promedio,lux,lux_foco,temperatura_c,humedad_ambiente_pct,luz_encendida,ventilador_encendido,riego_pendiente,alertas
2026-04-02,18:13:18,maceta1,27.0,26.0,81.9,82.4,82.2,10.1,12.9,25.9,77.7,0,0,0,
2026-04-02,18:14:51,maceta1,27.0,27.0,81.8,82.3,82.0,14.1,15.1,,,0,0,0,Lectura invalida de DHT
2026-04-02,19:15:01,maceta1,28.0,27.0,81.6,82.0,81.8,9.9,27.0,26.3,75.4,0,0,0,
2026-04-02,20:15:13,maceta1,28.0,27.0,81.4,81.9,81.6,22.6,7.8,,,0,0,0,Lectura invalida de DHT
2026-04-02,21:15:18,maceta1,28.0,27.0,81.3,81.7,81.5,9.9,26.0,27.2,69.0,0,0,0,
2026-04-02,22:15:24,maceta1,28.0,28.0,81.1,81.5,81.3,4.1,19.3,,,0,0,0,Lectura invalida de DHT
2026-04-02,23:15:30,maceta1,29.0,28.0,80.9,81.3,81.1,12.0,0.6,25.6,77.5,0,0,0,
2026-04-03,00:15:36,maceta1,29.0,28.0,80.7,81.2,80.9,29.4,21.7,25.4,74.0,0,0,0,
2026-04-03,01:15:42,maceta1,29.0,28.0,80.6,81.0,80.8,6.8,1.1,,,0,0,0,Lectura invalida de DHT
2026-04-03,02:15:47,maceta1,29.0,29.0,80.5,80.9,80.7,18.4,29.9,25.6,87.4,0,0,0,
2026-04-03,03:15:53,maceta1,29.0,29.0,80.4,80.7,80.6,13.0,26.2,,,0,0,0,Lectura invalida de DHT
2026-04-03,04:15:59,maceta1,30.0,29.0,80.3,80.6,80.4,2.1,8.9,25.7,85.5,0,0,0,
2026-04-03,05:16:04,maceta1,30.0,29.0,80.2,80.5,80.3,14.6,7.7,25.8,84.5,0,0,0,
2026-04-03,06:16:10,maceta1,30.0,30.0,79.9,80.3,80.1,6062.2,19429.6,,,1,0,0,Lectura invalida de DHT
2026-04-03,07:16:16,maceta1,30.0,30.0,79.9,80.1,80.0,6465.5,20295.2,25.7,84.5,1,0,0,
2026-04-03,08:16:20,maceta1,30.0,30.0,79.7,79.8,79.8,6312.4,19535.0,24.5,90.0,1,0,0,
2026-04-03,09:16:23,maceta1,31.0,30.0,79.6,79.7,79.7,6219.1,19708.2,24.8,86.0,1,0,0,
2026-04-03,10:16:33,maceta1,31.0,31.0,79.5,79.5,79.5,5909.2,20000.8,25.1,84.7,1,0,0,
