fecha,hora,maceta,humedad_raw_1,humedad_raw_2,humedad_pct_1,humedad_pct_2,humedad_pct_promedio,lux,dli_acumulado,temperatura_c,humedad_ambiente_pct,luz_encendida,ventilador_encendido,riego_pendiente,alertas
2026-04-01,00:00:00,maceta1,95.0,94.0,81.4,82.4,81.9,22.8,0.0042,17.1,67.6,0,0,0,
2026-04-01,00:00:00,maceta2,94.0,95.0,81.9,81.4,81.7,15.0,0.0028,16.1,70.1,0,0,0,
2026-04-01,01:00:00,maceta1,96.0,94.0,81.2,82.1,81.7,26.5,0.0091,16.5,72.8,0,0,0,
2026-04-01,01:00:00,maceta2,95.0,96.0,81.8,81.3,81.5,1.2,0.003,17.8,59.2,0,0,0,
2026-04-01,02:00:00,maceta1,96.0,94.0,81.0,81.9,81.5,27.7,0.0142,14.7,83.0,0,0,0,
2026-04-01,02:00:00,maceta2,95.0,96.0,81.6,81.0,81.3,5.9,0.0041,14.7,70.2,0,0,0,
2026-04-01,03:00:00,maceta1,96.0,95.0,80.9,81.8,81.3,26.5,0.0191,17.2,77.5,0,0,0,
2026-04-01,03:00:00,maceta2,95.0,96.0,81.4,80.8,81.1,12.0,0.0063,16.0,74.6,0,0,0,
2026-04-01,04:00:00,maceta1,97.0,95.0,80.7,81.6,81.1,25.0,0.0238,14.3,80.9,0,0,0,
2026-04-01,04:00:00,maceta2,96.0,97.0,81.2,80.6,80.9,20.1,0.01,15.8,76.7,0,0,0,
2026-04-01,05:00:00,maceta1,97.0,95.0,80.4,81.4,80.9,5.3,0.0247,14.8,72.5,0,0,0,
2026-04-01,05:00:00,maceta2,96.0,97.0,81.0,80.4,80.7,27.5,0.0151,14.8,69.2,0,0,0,
2026-04-01,06:00:00,maceta1,98.0,96.0,80.2,81.2,80.7,6457.5,1.2194,16.7,76.1,1,0,0,
2026-04-01,06:00:00,maceta2,97.0,98.0,80.8,80.2,80.5,6206.0,1.1633,13.4,62.7,1,0,0,
2026-04-01,07:00:00,maceta1,98.0,96.0,79.9,81.0,80.5,5966.2,2.3231,14.8,73.2,1,0,0,
2026-04-01,07:00:00,maceta2,97.0,98.0,80.6,80.0,80.3,6079.0,2.2879,16.5,64.5,1,0,0,
2026-04-01,08:00:00,maceta1,99.0,97.0,79.7,80.8,80.2,6330.8,3.4943,17.0,73.8,1,0,0,
2026-04-01,08:00:00,maceta2,97.0,98.0,80.3,79.9,80.1,6255.6,3.4452,19.0,68.4,1,0,0,
2026-04-01,09:00:00,maceta1,99.0,97.0,79.5,80.6,80.1,5924.5,4.5904,18.5,68.2,1,0,0,
2026-04-01,09:00:00,maceta2,98.0,99.0,80.2,79.6,79.9,5835.9,4.5248,17.7,65.4,1,0,0,
2026-04-01,10:00:00,maceta1,99.0,97.0,79.4,80.4,79.9,6278.1,5.7518,23.3,53.6,1,0,0,
2026-04-01,10:00:00,maceta2,98.0,99.0,80.0,79.4,79.7,5975.8,5.6303,20.8,58.1,1,0,0,
2026-04-01,11:00:00,maceta1,100.0,98.0,79.2,80.2,79.7,6149.8,6.8895,22.4,63.4,1,0,0,
2026-04-01,11:00:00,maceta2,98.0,100.0,79.8,79.2,79.5,6322.7,6.8,20.2,60.8,1,0,0,
2026-04-01,12:00:00,maceta1,100.0,98.0,78.9,80.0,79.5,6193.9,8.0354,22.6,63.8,1,0,0,
2026-04-01,12:00:00,maceta2,99.0,100.0,79.6,78.9,79.3,5858.3,7.8838,23.5,59.9,1,0,0,
2026-04-01,13:00:00,maceta1,100.0,98.0,78.7,79.9,79.3,5929.9,9.1324,22.4,51.5,1,0,0,
2026-04-01,13:00:00,maceta2,99.0,100.0,79.4,78.7,79.0,5953.5,8.9852,24.7,52.4,1,0,0,
2026-04-01,14:00:00,maceta1,101.0,99.0,78.5,79.7,79.1,5980.5,10.2388,23.8,55.9,1,0,0,
2026-04-01,14:00:00,maceta2,100.0,101.0,79.1,78.6,78.8,6195.8,10.1314,24.2,43.8,1,0,0,
2026-04-01,15:00:00,maceta1,101.0,99.0,78.3,79.5,78.9,6152.8,11.3771,23.9,63.4,1,0,0,
2026-04-01,15:00:00,maceta2,100.0,101.0,78.9,78.3,78.6,5942.2,11.2307,27.6,57.2,1,0,0,
2026-04-01,16:00:00,maceta1,102.0,99.0,78.1,79.3,78.7,5847.3,12.4588,24.7,61.5,1,0,0,
2026-04-01,16:00:00,maceta2,101.0,102.0,78.7,78.1,78.4,5920.0,12.3259,23.1,47.4,1,0,0,
2026-04-01,17:00:00,maceta1,102.0,100.0,77.9,79.1,78.5,6489.1,13.6593,25.4,62.6,1,0,0,
2026-04-01,17:00:00,maceta2,101.0,102.0,78.5,77.9,78.2,6128.0,13.4596,22.3,67.5,1,0,0,
2026-04-01,18:00:00,maceta1,102.0,100.0,77.7,79.0,78.3,16.7,13.6624,23.7,51.3,0,0,0,
2026-04-01,18:00:00,maceta2,101.0,102.0,78.3,77.7,78.0,6.7,13.4609,20.4,61.8,0,0,0,
2026-04-01,19:00:00,maceta1,103.0,100.0,77.5,78.8,78.2,28.3,13.6676,20.4,60.0,0,0,0,
2026-04-01,19:00:00,maceta2,102.0,103.0,78.1,77.5,77.8,20.9,13.4647,22.6,52.3,0,0,0,
2026-04-01,20:00:00,maceta1,103.0,101.0,77.3,78.7,78.0,7.1,13.6689,22.2,64.9,0,0,0,
2026-04-01,20:00:00,maceta2,102.0,103.0,77.9,77.3,77.6,9.7,13.4665,21.4,66.6,0,0,0,
2026-04-01,21:00:00,maceta1,104.0,101.0,77.0,78.4,77.7,27.7,13.674,19.7,62.0,0,0,0,
2026-04-01,21:00:00,maceta2,102.0,104.0,77.7,77.1,77.4,26.6,13.4714,19.4,70.8,0,0,0,
2026-04-01,22:00:00,maceta1,104.0,101.0,76.8,78.2,77.5,12.2,13.6763,16.3,59.3,0,0,0,
2026-04-01,22:00:00,maceta2,103.0,104.0,77.4,76.8,77.1,1.1,13.4716,17.5,60.1,0,0,0,
2026-04-01,23:00:00,maceta1,104.0,102.0,76.6,78.0,77.3,1.5,13.6766,16.7,70.7,0,0,0,
2026-04-01,23:00:00,maceta2,103.0,104.0,77.3,76.6,76.9,8.5,13.4732,18.9,70.1,0,0,0,
2026-04-02,00:00:00,maceta1,105.0,102.0,76.4,77.8,77.1,18.9,0.0035,16.7,68.5,0,0,0,
2026-04-02,00:00:00,maceta2,104.0,105.0,77.0,76.4,76.7,17.5,0.0032,13.5,76.1,0,0,0,
2026-04-02,01:00:00,maceta1,105.0,103.0,76.2,77.6,76.9,19.0,0.007,15.8,76.3,0,0,0,
2026-04-02,01:00:00,maceta2,104.0,105.0,76.8,76.2,76.5,21.5,0.0072,14.8,78.0,0,0,0,
2026-04-02,02:00:00,maceta1,106.0,103.0,76.0,77.4,76.7,0.6,0.0071,13.8,74.0,0,0,0,
2026-04-02,02:00:00,maceta2,104.0,106.0,76.6,75.9,76.3,3.2,0.0078,15.8,77.7,0,0,0,
2026-04-02,03:00:00,maceta1,106.0,103.0,75.8,77.3,76.5,10.8,0.0091,16.2,72.8,0,0,0,
2026-04-02,03:00:00,maceta2,105.0,106.0,76.4,75.7,76.1,4.6,0.0087,16.1,85.3,0,0,0,
2026-04-02,04:00:00,maceta1,106.0,103.0,75.6,77.1,76.3,2.3,0.0095,13.6,70.6,0,0,0,
2026-04-02,04:00:00,maceta2,105.0,107.0,76.2,75.5,75.9,19.2,0.0122,14.4,85.2,0,0,0,
2026-04-02,05:00:00,maceta1,107.0,104.0,75.3,76.9,76.1,24.5,0.0141,15.9,73.8,0,0,0,
2026-04-02,05:00:00,maceta2,106.0,107.0,76.0,75.3,75.6,22.6,0.0164,16.8,66.8,0,0,0,
2026-04-02,06:00:00,maceta1,107.0,104.0,75.2,76.7,75.9,6408.2,1.1996,15.4,78.9,1,0,0,
2026-04-02,06:00:00,maceta2,106.0,107.0,75.8,75.1,75.4,6090.4,1.1431,15.9,72.7,1,0,0,
2026-04-02,07:00:00,maceta1,108.0,105.0,75.0,76.5,75.7,6174.3,2.3418,15.5,74.3,1,0,0,
2026-04-02,07:00:00,maceta2,106.0,108.0,75.6,74.9,75.2,5814.1,2.2187,15.4,76.1,1,0,0,
2026-04-02,08:00:00,maceta1,108.0,105.0,74.8,76.3,75.5,5911.0,3.4353,19.6,69.3,1,0,0,
2026-04-02,08:00:00,maceta2,107.0,108.0,75.4,74.7,75.1,6249.2,3.3748,20.4,64.6,1,0,0,
2026-04-02,09:00:00,maceta1,108.0,105.0,74.6,76.1,75.4,6301.9,4.6012,19.6,69.9,1,0,0,
