fecha,hora,maceta,humedad_raw_1,humedad_raw_2,humedad_pct_1,humedad_pct_2,humedad_pct_promedio,lux,dli_acumulado,temperatura_c,humedad_ambiente_pct,luz_encendida,ventilador_encendido,riego_pendiente,alertas
2026-07-02,19:27:18,maceta1,95.0,90.0,81.6,84.4,83.0,0.0,0.0,18.0,50.0,1,0,0,
2026-07-02,19:27:18,maceta2,96.0,94.0,81.3,82.1,81.7,0.0,0.0,11.9,52.2,1,0,0,
2026-07-02,20:01:05,maceta1,95.0,90.0,81.5,84.2,82.9,763.3,0.0,18.1,50.5,1,0,0,
2026-07-02,20:01:05,maceta2,96.0,94.0,81.1,81.9,81.5,326.7,0.0,11.7,52.2,1,0,0,
2026-07-02,21:09:38,maceta1,95.0,90.0,81.4,84.0,82.7,547.5,0.0,16.7,51.1,1,0,0,
2026-07-02,21:09:38,maceta2,96.0,128.0,81.0,64.2,72.6,233.3,0.0,12.1,51.1,1,0,0,Discrepancia alta entre sensores de humedad
2026-07-02,22:10:17,maceta1,96.0,91.0,81.2,83.7,82.4,0.0,0.0,16.7,51.1,0,0,0,
2026-07-02,22:10:17,maceta2,96.0,95.0,80.9,81.5,81.2,0.0,0.0,12.9,50.3,0,0,0,
2026-07-02,23:10:23,maceta1,96.0,92.0,81.1,83.4,82.2,0.0,0.0,16.7,51.1,0,0,0,
2026-07-02,23:10:23,maceta2,97.0,95.0,80.6,81.4,81.0,0.0,0.0,10.7,52.2,0,0,0,
2026-07-03,00:10:28,maceta1,96.0,92.0,80.8,83.3,82.0,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,00:10:28,maceta2,97.0,96.0,80.4,81.2,80.8,0.0,0.0,10.2,53.1,0,0,0,
2026-07-03,01:10:34,maceta1,97.0,92.0,80.7,83.1,81.9,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,01:10:34,maceta2,98.0,96.0,80.1,81.0,80.6,0.0,0.0,9.9,54.0,0,0,0,
2026-07-03,02:10:39,maceta1,97.0,92.0,80.5,82.9,81.7,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,02:10:39,maceta2,98.0,96.0,79.8,80.8,80.3,0.0,0.0,9.7,54.4,0,0,0,
2026-07-03,03:10:45,maceta1,97.0,93.0,80.3,82.8,81.5,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,03:10:45,maceta2,98.0,97.0,79.7,80.6,80.2,0.0,0.0,9.5,54.5,0,0,0,
2026-07-03,04:10:50,maceta1,98.0,93.0,80.1,82.6,81.4,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,04:10:50,maceta2,99.0,97.0,79.5,80.4,79.9,0.0,0.0,9.4,54.3,0,0,0,
2026-07-03,05:10:56,maceta1,98.0,93.0,79.9,82.5,81.2,0.0,0.0,16.7,51.1,0,0,0,
2026-07-03,05:10:56,maceta2,100.0,98.0,79.2,80.1,79.6,0.0,0.0,9.2,54.0,0,0,0,
2026-07-03,06:11:01,maceta1,98.0,94.0,79.7,82.2,81.0,0.0,0.0,16.7,51.1,1,0,0,
2026-07-03,06:11:01,maceta2,100.0,98.0,79.0,80.0,79.5,1.7,0.0001,9.0,53.8,0,0,0,
2026-07-03,07:11:07,maceta1,99.0,94.0,79.6,82.0,80.8,165.4,2.0896,16.7,51.1,1,0,0,
2026-07-03,07:11:07,maceta2,100.0,98.0,78.8,79.8,79.3,1615.4,1.0934,8.9,53.6,1,0,0,
2026-07-03,08:11:12,maceta1,99.0,94.0,79.4,81.9,80.6,162.1,4.1794,16.7,51.1,1,0,0,
2026-07-03,08:11:12,maceta2,101.0,99.0,78.6,79.5,79.0,1563.3,3.2776,10.7,49.0,1,0,0,
2026-07-03,09:11:18,maceta1,100.0,95.0,79.2,81.8,80.5,160.0,6.269,16.7,51.1,1,0,0,
2026-07-03,09:11:18,maceta2,101.0,99.0,78.4,79.3,78.9,1615.4,5.4648,10.7,48.1,1,0,0,
2026-07-03,10:11:23,maceta1,100.0,95.0,79.0,81.5,80.3,166.7,8.3587,16.7,51.1,1,0,0,
2026-07-03,10:11:23,maceta2,102.0,100.0,78.1,79.2,78.7,1601.7,7.6509,10.6,47.9,1,0,0,
2026-07-03,11:11:28,maceta1,100.0,96.0,78.8,81.2,80.0,169.2,10.4486,16.7,51.1,1,0,0,
2026-07-03,11:11:28,maceta2,102.0,100.0,77.9,79.0,78.4,1605.8,9.8354,10.5,47.2,1,0,0,
2026-07-03,12:11:34,maceta1,128.0,96.0,64.2,81.1,72.7,172.9,12.539,16.7,51.1,1,0,0,Discrepancia alta entre sensores de humedad
2026-07-03,12:11:34,maceta2,103.0,100.0,77.6,78.9,78.3,1569.6,12.0198,10.6,47.6,1,0,0,
2026-07-03,13:11:39,maceta1,101.0,96.0,78.4,80.9,79.6,175.8,14.6297,16.7,51.1,0,0,0,
2026-07-03,13:11:39,maceta2,103.0,100.0,77.4,78.7,78.0,1628.3,14.2061,10.6,47.7,0,0,0,
2026-07-03,14:11:45,maceta1,101.0,97.0,78.2,80.7,79.5,17.9,14.6309,16.7,51.1,0,0,0,
2026-07-03,14:11:45,maceta2,103.0,101.0,77.2,78.6,77.9,13.3,14.207,8.9,50.3,0,0,0,
